HomeTeam,AwayTeam,Date,FTHG,FTAG,FTR,Year,FTR1,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Man City,Everton,09-12-2000,5,0,H,2000,H,0.823529412,1.235294118,L,L,L,L,W,W,-0.705882353,-0.235294118,-0.529411765,5
Southampton,Leeds,09-12-2000,1,0,H,2000,H,1,1.294117647,L,L,W,L,L,W,-0.411764706,-0.058823529,0.176470588,12
Sunderland,Middlesbrough,09-12-2000,1,0,H,2000,H,1.529411765,0.647058824,W,W,W,L,D,L,0.058823529,-0.470588235,0.529411765,-5
West Ham,Aston Villa,09-12-2000,1,1,NH,2000,D,1.411764706,1.470588235,W,W,W,D,D,D,0.294117647,0.294117647,0.411764706,3
Coventry,Leicester,10-12-2000,1,0,H,2000,H,0.705882353,1.705882353,L,D,L,W,L,W,-1,0.294117647,-0.529411765,6
Liverpool,Ipswich,10-12-2000,0,1,NH,2000,A,1.588235294,1.588235294,W,L,L,L,W,W,0.529411765,0.352941176,-0.176470588,-14
Aston Villa,Man City,16-12-2000,2,2,NH,2000,D,1.470588235,0.823529412,D,D,D,L,L,L,0.294117647,-0.705882353,0.352941176,-12
Derby,Coventry,16-12-2000,1,0,H,2000,H,0.722222222,0.833333333,L,W,L,W,L,D,-0.833333333,-0.888888889,0.166666667,2
Everton,West Ham,16-12-2000,1,1,NH,2000,D,1.166666667,1.388888889,L,L,W,D,W,W,-0.5,0.277777778,-0.222222222,4
Ipswich,Southampton,16-12-2000,3,1,H,2000,H,1.666666667,1.111111111,W,L,W,W,L,L,0.388888889,-0.333333333,0.277777778,3
Leeds,Sunderland,16-12-2000,2,0,H,2000,H,1.388888889,1.611111111,W,L,L,W,W,W,0.055555556,0.111111111,-0.388888889,-4
Leicester,Charlton,16-12-2000,3,1,H,2000,H,1.611111111,1.222222222,L,W,L,D,L,L,0.222222222,-0.166666667,0.166666667,-10
Middlesbrough,Chelsea,16-12-2000,1,0,H,2000,H,0.611111111,1.277777778,L,L,D,W,W,L,-0.5,0.444444444,-0.333333333,7
Newcastle,Bradford,16-12-2000,2,1,H,2000,H,1.333333333,0.666666667,L,D,W,D,W,D,-0.166666667,-0.888888889,0,-6
Man United,Liverpool,17-12-2000,0,1,NH,2000,A,2.222222222,1.5,D,W,W,L,W,L,1.722222222,0.444444444,0.388888889,-3
Tottenham,Arsenal,18-12-2000,1,1,NH,2000,D,1.333333333,1.888888889,D,L,W,W,W,L,-0.055555556,0.888888889,0,8
